elr,total_yards,mileage,easting,northing,longitude,latitude,os_grid_ref,linear_accuracy_m
GTW2,98230,55M 1430y,485207.4,159994.9,-0.77831,51.332674,SU8520759994,0
GTW2,98340,55M 1540y,485133.5,160063.2,-0.779355,51.333299,SU8513360063,0
GTW2,98450,55M 1650y,485057.0,160128.5,-0.780438,51.333898,SU8505660128,0
GTW2,98560,56M 0000y,484979.7,160193.1,-0.781531,51.33449,SU8497960193,0
GTW2,98670,56M 0110y,484902.4,160257.7,-0.782625,51.335083,SU8490260257,0
GTW2,98780,56M 0220y,484825.2,160322.3,-0.783719,51.335675,SU8482560322,0
GTW2,98890,56M 0330y,484747.9,160386.9,-0.784812,51.336267,SU8474760386,0
GTW2,99000,56M 0440y,484670.6,160451.5,-0.785906,51.336859,SU8467060451,0
GTW2,99110,56M 0550y,484593.3,160516.1,-0.787001,51.337452,SU8459360516,0
GTW2,99220,56M 0660y,484516.0,160580.8,-0.788095,51.338044,SU8451560580,0
GTW2,99330,56M 0770y,484438.6,160645.4,-0.789189,51.338637,SU8443860645,0
GTW2,99440,56M 0880y,484361.3,160710.0,-0.790284,51.339229,SU8436160710,1
GTW2,99550,56M 0990y,484283.9,160774.8,-0.79138,51.339823,SU8428360774,1
GTW2,99660,56M 1100y,484206.4,160839.5,-0.792476,51.340416,SU8420660839,1
GTW2,99770,56M 1210y,484129.0,160904.2,-0.793572,51.341009,SU8412960904,1
GTW2,99880,56M 1320y,484051.6,160968.9,-0.794669,51.341603,SU8405160968,1
GTW2,99990,56M 1430y,483974.2,161033.6,-0.795764,51.342196,SU8397461033,0
GTW2,100100,56M 1540y,483896.9,161098.3,-0.796859,51.342788,SU8389661098,0
GTW2,100210,56M 1650y,483819.5,161162.9,-0.797954,51.343381,SU8381961162,0
GTW2,100320,57M 0000y,483742.2,161227.6,-0.799049,51.343974,SU8374261227,0
GTW2,100430,57M 0110y,483664.9,161292.2,-0.800143,51.344566,SU8366461292,0
GTW2,100540,57M 0220y,483587.6,161356.8,-0.801237,51.345158,SU8358761356,0
GTW2,100650,57M 0330y,483510.3,161421.4,-0.802331,51.34575,SU8351061421,0
GTW2,100760,57M 0440y,483433.1,161486.0,-0.803425,51.346342,SU8343361485,0
GTW2,100870,57M 0550y,483355.9,161550.4,-0.804518,51.346933,SU8335561550,0
GTW2,100980,57M 0660y,483279.6,161615.9,-0.805598,51.347532,SU8327961615,0
GTW2,101090,57M 0770y,483206.2,161684.6,-0.806636,51.348161,SU8320661684,0
GTW2,101200,57M 0880y,483138.3,161758.8,-0.807593,51.348838,SU8313861758,0
